32.0202, 5400, 1800, 0, -nan, -nan
33.3701, 5397.55, 1988.08, 8.28897e-05, 15.1569, 370.707
33.3801, 5397.55, 1988.08, 8.28897e-05, 0, 0
33.3901, 5397.55, 1988.08, 8.28897e-05, 0, 0
33.4001, 5398, 1996.26, 0.00010088, 0, 0
33.4101, 5398, 1996.26, 0.00010088, 45.6137, 817.308
33.4201, 5398.46, 2000.74, 8.96628e-05, 0, 0
33.4301, 5398.46, 2000.74, 8.96628e-05, 45.9066, 447.234
33.4401, 5398.77, 2005.06, 9.58876e-05, 0, 0
33.4501, 5398.77, 2005.06, 9.58876e-05, 30.492, 431.667
33.4601, 5399.07, 2009.84, 8.74348e-05, 0, 0
33.4701, 5399.07, 2009.84, 8.74348e-05, 30.4663, 478.108
33.4801, 5399.38, 2014.93, 0.00010394, 0, 0
33.4901, 5399.38, 2014.93, 0.00010394, 30.3988, 508.249
33.5001, 5399.68, 2020.02, 0.000113076, 0, 0
33.5101, 5399.68, 2020.02, 0.000113076, 30.3715, 507.839
33.5201, 5399.83, 2025.12, 0.000104395, 0, 0
33.5301, 5399.83, 2025.12, 0.000104395, 15.0083, 508.904
33.5401, 5399.83, 2025.12, 0.000104395, 0, 0
33.5501, 5399.83, 2025.12, 0.000104395, 0, 0
33.5601, 5399.98, 2036.38, 0.000109422, 0, 0
33.5701, 5399.98, 2036.38, 0.000109422, 14.5162, 1126.17
33.5801, 5399.97, 2042.24, 0.00010826, 0, 0
33.5901, 5399.97, 2042.24, 0.00010826, -0.470125, 585.996
33.6001, 5399.97, 2047.8, 0.000125242, 0, 0
33.6101, 5399.97, 2047.8, 0.000125242, -0.447827, 554.876
33.6201, 5399.97, 2053.2, 0.000102331, 0, 0
33.6301, 5399.97, 2053.2, 0.000102331, -0.442984, 540.48
33.6401, 5399.96, 2058.91, 0.00012536, 0, 0
33.6501, 5399.96, 2058.91, 0.00012536, -0.460161, 569.286
33.6601, 5399.96, 2064.46, 0.000113434, 0, 0
33.6701, 5399.96, 2064.46, 0.000113434, -0.451351, 555.776
33.6801, 5399.8, 2070.17, 0.000149249, 0, 0
33.6901, 5399.8, 2070.17, 0.000149249, -15.8948, 570.481
33.7001, 5399.79, 2076.34, 0.000138139, 0, 0
33.7101, 5399.79, 2076.34, 0.000138139, -0.515036, 617.883
33.7201, 5399.63, 2082.51, 0.000146434, 0, 0
33.7301, 5399.63, 2082.51, 0.000146434, -15.9276, 616.267
33.7401, 5399.47, 2088.07, 0.000134897, 0, 0
33.7501, 5399.47, 2088.07, 0.000134897, -15.8612, 554.243
33.7601, 5399.31, 2093.78, 0.000150878, 0, 0
33.7701, 5399.31, 2093.78, 0.000150878, -15.9157, 571.161
33.7801, 5399.15, 2100.1, 0.000143964, 0, 0
33.7901, 5399.15, 2100.1, 0.000143964, -15.9502, 632.186
33.8001, 5398.84, 2106.12, 0.000175021, 0, 0
33.8101, 5398.84, 2106.12, 0.000175021, -31.3553, 601.405
33.8201, 5398.84, 2112.6, 0.000197982, 0, 0
33.8301, 5398.84, 2112.6, 0.000197982, -0.568787, 647.665
33.8401, 5398.52, 2119.08, 0.000212514, 0, 0
33.8501, 5398.52, 2119.08, 0.000212514, -31.4395, 648.023
33.8601, 5398.36, 2125.56, 0.000212096, 0, 0
33.8701, 5398.36, 2125.56, 0.000212096, -16.0413, 648.872
33.8801, 5398.35, 2131.89, 0.000199162, 0, 0
33.8901, 5398.35, 2131.89, 0.000199162, -0.568615, 632.304
33.9001, 5398.19, 2138.83, 0.000214983, 0, 0
33.9101, 5398.19, 2138.83, 0.000214983, -16.0236, 692.987
33.9201, 5398.03, 2145.93, 0.000244603, 0, 0
33.9301, 5398.03, 2145.93, 0.000244603, -16.0754, 709.518
33.9401, 5397.87, 2152.87, 0.000220449, 0, 0
33.9501, 5397.87, 2152.87, 0.000220449, -16.0767, 694.16
33.9601, 5397.71, 2160.12, 0.000222369, 0, 0
33.9701, 5397.71, 2160.12, 0.000222369, -16.0865, 724.788
33.9801, 5397.24, 2168.45, 0.000239551, 0, 0
33.9901, 5397.24, 2168.45, 0.000239551, -47.1139, 833.96
34.0001, 5397.23, 2176.32, 0.000256698, 0, 0
34.0101, 5397.23, 2176.32, 0.000256698, -0.74085, 786.3
34.0201, 5397.23, 2184.19, 0.000260893, 0, 0
34.0301, 5397.23, 2184.19, 0.000260893, -0.751792, 787.594
34.0401, 5397.06, 2192.21, 0.000273248, 0, 0
34.0501, 5397.06, 2192.21, 0.000273248, -16.1914, 801.913
34.0601, 5396.9, 2200.24, 0.000262607, 0, 0
34.0701, 5396.9, 2200.24, 0.000262607, -16.2093, 802.601
34.0801, 5396.9, 2200.24, 0.000262607, 0, 0
34.0901, 5396.74, 2208.72, 0.000276245, 0, 0
34.1001, 5396.74, 2208.72, 0.000276245, -16.2318, 847.753
34.1101, 5396.74, 2208.72, 0.000276245, 0, 0
34.1201, 5396.58, 2218.13, 0.000250856, 0, 0
34.1301, 5396.41, 2227.55, 0.000267219, -16.4332, 947.117
34.1401, 5396.41, 2227.55, 0.000267219, -16.2934, 939.499
34.1501, 5396.25, 2236.8, 0.000240961, 0, 0
34.1601, 5396.25, 2236.8, 0.000240961, -16.2265, 920.635
34.1701, 5396.4, 2246.52, 0.000240999, 0, 0
34.1801, 5396.69, 2256.55, 0.000238459, 14.5239, 972.159
34.1901, 5396.69, 2256.55, 0.000238459, 29.9181, 1002.75
34.2001, 5396.69, 2256.55, 0.000238459, 0, 0
34.2101, 5396.84, 2266.74, 0.000273595, 0, 0
34.2201, 5397.14, 2277.54, 0.000258629, 14.4435, 1017.39
34.2301, 5397.14, 2277.54, 0.000258629, 29.7861, 1078.88
34.2401, 5397.14, 2277.54, 0.000258629, 0, 0
34.2501, 5397.28, 2288.34, 0.000284269, 0, 0
34.2601, 5397.28, 2288.34, 0.000284269, 14.3766, 1079.46
34.2701, 5397.73, 2298.52, 0.00025505, 0, 0
34.2801, 5397.73, 2298.52, 0.00025505, 45.2604, 1017.15
34.2901, 5398.19, 2309.17, 0.00026775, 0, 0
34.3001, 5398.19, 2309.17, 0.00026775, 45.1599, 1062.22
34.3101, 5398.49, 2319.97, 0.000291754, 0, 0
34.3201, 5398.49, 2319.97, 0.000291754, 29.8424, 1081.22
34.3301, 5399.09, 2330.46, 0.000306053, 0, 0
34.3401, 5399.09, 2330.46, 0.000306053, 60.6503, 1048.74
34.3501, 5399.7, 2341.73, 0.00029303, 0, 0
34.3601, 5399.7, 2341.73, 0.00029303, 60.4367, 1123.57
34.3701, 5400.15, 2353.45, 0.000301921, 0, 0
34.3801, 5400.45, 2365.18, 0.000299285, 45.167, 1173.58
34.3901, 5400.45, 2365.18, 0.000299285, 29.7106, 1173.56
34.4001, 5400.45, 2365.18, 0.000299285, 0, 0
34.4101, 5400.43, 2377.37, 0.000302835, 0, 0
34.4201, 5400.43, 2377.37, 0.000302835, -1.2102, 1215.71
34.4301, 5400.42, 2389.25, 0.000261736, 0, 0
34.4401, 5400.42, 2389.25, 0.000261736, -1.15363, 1185.49
34.4501, 5400.56, 2401.9, 0.000273077, 0, 0
34.4601, 5400.56, 2401.9, 0.000273077, 14.1907, 1264.11
34.4701, 5400.55, 2415.63, 0.000255587, 0, 0
34.4801, 5400.55, 2415.63, 0.000255587, -1.31804, 1369.69
34.4901, 5400.38, 2429.52, 0.000279987, 0, 0
34.5001, 5400.38, 2429.52, 0.000279987, -16.7731, 1388.27
34.5101, 5400.37, 2443.72, 0.000259935, 0, 0
34.5201, 5400.37, 2443.72, 0.000259935, -1.34958, 1415.22
34.5301, 5400.05, 2457.91, 0.000231716, 0, 0
34.5401, 5400.05, 2457.91, 0.000231716, -32.2092, 1419.61
34.5501, 5399.73, 2471.8, 0.000275859, 0, 0
34.5601, 5399.73, 2471.8, 0.000275859, -32.1417, 1387.59
34.5701, 5399.87, 2486.3, 0.000281532, 0, 0
34.5801, 5399.87, 2486.3, 0.000281532, 14.0049, 1448.79
34.5901, 5399.54, 2501.42, 0.000261935, 0, 0
34.6001, 5399.54, 2501.42, 0.000261935, -32.3302, 1513.21
34.6101, 5399.22, 2517.47, 0.000265113, 0, 0
34.6201, 5399.22, 2517.47, 0.000265113, -32.3962, 1603.71
34.6301, 5399.36, 2533.51, 0.000282075, 0, 0
34.6401, 5399.36, 2533.51, 0.000282075, 13.8727, 1603.75
34.6501, 5399.03, 2548.48, 0.000273805, 0, 0
34.6601, 5399.03, 2548.48, 0.000273805, -32.2973, 1495.37
34.6701, 5398.87, 2564.22, 0.000276407, 0, 0
34.6801, 5398.87, 2564.22, 0.000276407, -16.9315, 1572.85
34.6901, 5398.7, 2581.04, 0.000244485, 0, 0
34.7001, 5398.7, 2581.04, 0.000244485, -17.0212, 1683.36
34.7101, 5398.52, 2598.47, 0.000254762, 0, 0
34.7201, 5398.52, 2598.47, 0.000254762, -17.0737, 1742.39
34.7301, 5398.2, 2615.75, 0.000228886, 0, 0
34.7401, 5398.2, 2615.75, 0.000228886, -32.4405, 1726.99
34.7501, 5398.18, 2632.11, 0.000233986, 0, 0
34.7601, 5398.18, 2632.11, 0.000233986, -1.53114, 1637.66
34.7701, 5398.01, 2649.39, 0.000254742, 0, 0
34.7801, 5398.01, 2649.39, 0.000254742, -17.0335, 1727.75
34.7901, 5398.15, 2667.59, 0.000214956, 0, 0
34.8001, 5398.15, 2667.59, 0.000214956, 13.7289, 1818.69
